# Server ID, Server name
# 19035, Vodafone Kabel Deutschland - Berlin - Germany
# 1475, IPB GmbH - Berlin - Germany
15746, Bezeq International - Petah Tikva - Israel
38212, Bezeq - Tel Aviv - Israel
